from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
26122;11425;5361;304.5;4;12:4
26122;11426;5359;303.6;45;12:41,4:4
26123;4242;2309;148.93333333333334;45;12:42,4:3
33294;27320;839;90.0;72;11:72
11792;12587;2847;162.0;38;3:2,6:36
11793;7994;3669;230.30769230769232;39;3:3,6:36
33298;15104;1134;90.0;74;10:3,11:71
25859;22993;658;155.671875;256;9:151,10:3,11:102
15892;20915;681;95.02777777777777;36;8:36
11353;35321;17182;1048.1538461538462;26;4:26
11353;26123;10002;720.0;1;4:1
11353;11425;4708;508.59090909090907;22;12:1,4:21
20837;28118;510;59.351351351351354;74;12:74
10213;28116;1122;120.0;22;12:22
11236;8481;12242;978.0;1;11:1
11236;26250;1246;168.0;85;10:3,11:82
24097;8958;1728;126.0;198;3:6,6:192
32859;13475;1994;167.55555555555554;81;8:57,13:24
8743;30503;2335;150.0;58;8:58
8744;39081;4154;282.0;1;8:1
8744;39078;4153;236.5;12;8:12
8284;23005;965;275.0;1;6:1
8284;13534;647;95.11111111111111;9;6:9
8747;39081;4153;235.27272727272728;66;8:66
34348;36828;1240;90.0;74;9:74
9773;3553;2003;214.8;25;13:25
9773;18439;1132;120.44444444444444;54;8:54
9774;34572;719;90.0;4;8:4
6227;3934;2394;180.0;20;1173:20
9776;34574;698;85.45945945945945;74;8:50,13:24
14898;13985;3843;312.5853658536585;123;12:121,4:2
14899;2536;14668;810.0;8;9:8
14899;3428;3029;258.0;1;9:1
14899;20837;1457;120.0;3;12:3
14899;28118;1962;144.0;7;12:7
13876;38801;6745;576.0;1;10:1
13878;38801;6749;581.7049180327868;61;10:61
13878;33394;1259;114.0;73;10:73
13878;22226;5129;365.5;12;10:12
13880;30024;3443;310.4117647058824;68;10:68
13880;6244;1066;108.0;75;10:75
13880;19430;2287;174.0;3;10:3
13881;30024;3452;318.0;1;10:1
13881;33394;1261;131.0;3;7:3
7744;7995;8360;471.6;5;3:5
7744;7994;8364;444.0;1;3:1
7744;22787;30197;1890.0;1;3:1
7744;12588;2011;147.69230769230768;39;3:3,6:36
24706;17;1476;108.0;2;10:2
24706;30018;2283;180.0;1;10:1
24706;30019;2270;186.0;65;10:65
97;21161;1413;131.17808219178082;73;10:3,11:70
97;21158;1415;132.0;1;11:1
29256;5345;4959;270.55555555555554;9;10:9
29257;5345;4959;269.0;50;10:50
29258;5345;4957;275.0;5;10:5
29259;5345;4956;275.0;1;10:1
3702;18258;794;72.81818181818181;44;10:2,11:42
26040;18933;1796;268.6363636363636;22;4:22
6243;13878;1078;95.52;75;10:75
26041;34983;2795;240.0;25;4:25
6244;19430;1223;96.0;75;10:75
10615;8166;1094;90.48;25;14:25
10615;4118;778;78.0;26;14:26
28252;35832;2391;180.0;14;8:14
28252;35833;2394;202.42105263157896;19;8:19
28252;35831;2391;179.1891891891892;37;8:37
25457;10213;1138;107.18181818181819;22;12:22
24163;31705;1173;156.7058823529412;170;10:152,11:18
24163;31706;1169;180.0;1;10:1
26212;5543;1441;107.93548387096774;93;6:93
38501;27980;2817;173.21052631578948;38;8:37,13:1
38501;27981;2817;157.14285714285714;21;8:6,13:15
26214;32393;824;78.0;81;6:81
20074;15590;1550;132.0;95;10:70,13:25
20075;15515;1698;114.25806451612904;93;10:69,13:24
3695;33726;807;89.1891891891892;74;10:74
3696;22226;1507;126.0;76;10:73,7:3
33393;13880;1271;138.0;77;10:77
33393;13881;1259;150.0;3;10:3
33394;3696;2364;168.0;3;7:3
33394;19247;849;72.0;73;10:73
33726;19248;738;72.0;74;10:74
33726;33393;1568;132.0;6;10:6
37494;4062;771;90.0;195;12:184,4:11
37495;847;1178;119.62303664921465;191;12:179,4:12
13944;38766;1324;120.0;71;6:71
34240;13329;3978;420.0;1;6:1
34240;13330;3988;408.0;80;6:80
34240;13331;3994;414.0;1;6:1
34240;5164;1355;96.0;1;6:1
30338;7744;1861;138.0;1;3:1
30338;7994;10225;538.0;3;3:3
30338;22787;32017;1980.0;1;3:1
30338;10101;1962;137.01666666666668;60;6:60
30339;7744;1862;135.6;5;3:5
30339;7995;10222;551.0;12;3:12
30339;7994;10227;536.0;6;3:6
30339;22787;32020;1981.0588235294117;17;3:17
30341;5544;968;120.4020618556701;97;6:97
30341;36961;7792;540.0;4;3:4
30341;36963;7787;540.0;2;3:2
30342;7744;1859;152.2;40;3:4,6:36
30342;5544;977;179.33333333333334;9;6:9
30342;22787;32013;2040.0;2;3:2
30343;30023;18720;1200.0;4;1169:1,1163:1,1171:1,1167:1
30343;10101;1956;138.0;13;6:13
30343;28863;7904;599.3181818181819;44;3:44
32393;7641;1103;90.0;81;6:81
32394;26212;822;84.0;93;6:93
6091;30018;4607;330.0;11;8:11
6091;30023;4618;328.5;4;8:3,14:1
7824;30341;1856;150.0;42;3:6,6:36
7824;30343;1860;144.0;5;3:5
9874;35320;8272;605.0769230769231;26;12:3,4:23
9874;30792;2603;241.02857142857144;35;12:35
9874;13651;1275;90.52325581395348;86;12:86
9874;15888;8271;645.0;4;4:4
10719;26351;1250;84.17647058823529;68;12:68
9878;28116;6428;450.0;2;4:2
9878;13651;1288;156.0;1;12:1
9878;12235;1082;145.80645161290323;31;12:31
9878;26348;2765;210.0;7;12:7
9879;13651;1283;90.0;4;12:4
9879;12235;1086;149.0909090909091;22;12:22
9880;12236;1087;107.5813953488372;43;12:43
9880;28116;6447;436.85393258426967;89;12:60,4:29
9880;26349;2803;210.0;12;12:12
32790;10705;2837;329.0;104;15:104
33437;19896;1167;240.0;1;10:1
33437;38797;1175;179.0;3;8:1,3:2
33437;30022;10484;718.5;2;3:2
13982;14899;3844;341.4;10;12:10
13982;14900;3841;294.22429906542055;107;12:107
13982;28118;5776;480.0;72;12:61,4:11
13984;14899;3846;354.0;1;9:1
13985;8274;1163;113.2421052631579;190;12:175,4:15
10705;32790;2837;359.0;103;15:103
21158;96;1445;114.0;72;11:72
21158;26249;4666;342.0;12;11:12
21158;18807;1536;132.0;1;11:1
21161;18807;1534;126.0;84;10:3,11:81
4784;32859;1655;113.92592592592592;81;8:57,13:24
4785;1309;1651;114.0;2;8:2
4787;29510;1604;114.21176470588236;85;8:60,13:25
24248;38801;1303;132.0;73;10:73
24249;22227;562;76.05405405405405;74;10:74
30515;31694;2104;120.72289156626506;83;12:83
16060;20915;664;95.5;2;8:2
21186;35626;828;72.0;71;6:71
21187;38767;1407;120.0;73;6:73
31429;34776;1767;239.0;1;13:1
31429;34774;1845;180.46341463414635;41;9:40,13:1
31430;34776;1769;180.0;11;1173:11
31430;34772;1845;259.6666666666667;3;9:1,1173:2
31430;34773;1845;180.0;3;1173:3
31430;34774;1847;175.4;15;9:9,1173:6
31431;3932;5951;300.0;22;1173:22
31431;34774;1851;179.0;13;9:11,10:2
24264;36962;1303;126.0;90;6:90
24264;36963;1303;120.0;1;6:1
24265;18151;1293;96.0;103;6:103
13943;28860;1953;168.0;73;6:73
21196;6465;2576;180.0;29;1:29
21197;22940;2574;204.20689655172413;29;1:29
31693;30518;2102;143.23076923076923;78;12:78
22226;24248;561;54.0;73;10:73
22226;38801;1853;180.4;15;10:12,7:3
22227;13880;5145;438.0;4;10:4
